dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
ic3t-wcy2,,p36g-evi5,,0.8224,embedding
ic3t-wcy2,,mdgu-ar69,,0.7879,embedding
ic3t-wcy2,,gnyq-kf2y,,0.781,embedding
ic3t-wcy2,,yv4m-nu6d,,0.7623,embedding
ic3t-wcy2,,jign-uhe6,,0.7914,embedding
ic3t-wcy2,,vpeq-ndkd,,0.7524,embedding
ic3t-wcy2,,kpjg-ubxi,,0.7581,embedding
ic3t-wcy2,,e7es-jx5j,,0.7812,embedding
ic3t-wcy2,,9xsq-wn7d,,0.7665,embedding
ic3t-wcy2,,7a57-qgkz,,0.7954,embedding
ic3t-wcy2,,8kvz-b7tv,,0.8023,embedding
ic3t-wcy2,,dpb9-ubdh,,0.7676,embedding
ic3t-wcy2,,yunp-vs8g,,0.7825,embedding
ic3t-wcy2,,xs5m-jrpm,,0.8215,embedding
ic3t-wcy2,,rytv-g5ui,,0.7846,embedding
ic3t-wcy2,,xxjs-y9yk,,0.7611,embedding
ic3t-wcy2,,44t3-dj6x,,0.7651,embedding
ic3t-wcy2,,e7gc-ub6z,,0.7757,embedding
ic3t-wcy2,,u7wp-np5k,,0.7735,embedding
ic3t-wcy2,,gk83-aa6y,,0.8068,embedding
ic3t-wcy2,,4zdr-zwdi,,0.7623,embedding
ic3t-wcy2,,9yid-w4y8,,0.8087,embedding
ic3t-wcy2,,y9si-s7ab,,0.7607,embedding
ic3t-wcy2,,kun8-kdsr,,0.7537,embedding
ic3t-wcy2,,922w-z7da,,0.7723,embedding
ic3t-wcy2,,tcwb-nry3,,0.7955,embedding
ic3t-wcy2,,kwss-yksz,,0.8571,embedding
ic3t-wcy2,,fpeh-f7ci,,0.7865,embedding
ic3t-wcy2,,wyj6-frpa,,0.8444,embedding
ic3t-wcy2,,3vyj-dkjt,,0.8114,embedding
ic3t-wcy2,,qjvp-rnsx,,0.8155,embedding
ic3t-wcy2,,tcj7-bhry,,0.7861,embedding
ic3t-wcy2,,83z6-smyr,,0.8002,embedding
ic3t-wcy2,,yqhh-93zq,,0.7955,embedding
ic3t-wcy2,,vnz6-h2k4,,0.8096,embedding
ic3t-wcy2,,af2s-4k4p,,0.8197,embedding
ic3t-wcy2,,fbkk-n4e3,,0.7614,embedding
ic3t-wcy2,,6njb-jmjq,,0.7907,embedding
ic3t-wcy2,,dtmw-avzj,,0.7848,embedding
ic3t-wcy2,,7arw-dbem,,0.7577,embedding
ic3t-wcy2,,bdha-6eqy,,0.7859,embedding
ic3t-wcy2,,mpg8-b8s5,,0.7849,embedding
ic3t-wcy2,,kgzj-pjna,,0.76,embedding
ic3t-wcy2,,n9yn-6q3f,,0.76,embedding
ic3t-wcy2,,8532-9v5k,,0.7812,embedding
ic3t-wcy2,,pvxf-9irb,,0.836,embedding
ic3t-wcy2,,k84j-firu,,0.7994,embedding
ic3t-wcy2,,dimy-qyej,,0.7767,embedding
ic3t-wcy2,,cgcg-w2ys,,0.8014,embedding
ic3t-wcy2,,yqky-aebb,,0.8319,embedding
ic3t-wcy2,,6wee-b7wf,,0.7922,embedding
ic3t-wcy2,,vmfm-wic2,,0.8437,embedding
ic3t-wcy2,,w38c-pyzq,,0.8106,embedding
ic3t-wcy2,,f5zq-eacn,,0.7754,embedding
ic3t-wcy2,,855v-w7mc,,0.8064,embedding
ic3t-wcy2,,w9zq-xm8b,,0.7594,embedding
ic3t-wcy2,,brsj-szf5,,0.7731,embedding
ic3t-wcy2,,is5y-7g3y,,0.8216,embedding
ic3t-wcy2,,wkij-g2bh,,0.7712,embedding
ic3t-wcy2,,fzy4-e84j,,0.7962,embedding
ic3t-wcy2,,tzsf-n2j8,,0.7775,embedding
ic3t-wcy2,,ns8x-qshd,,0.78,embedding
ic3t-wcy2,,32rn-zwi7,,0.8418,embedding
ic3t-wcy2,,2td3-mfek,,0.801,embedding
ic3t-wcy2,,5mv6-f76y,,0.785,embedding
ic3t-wcy2,,eubv-y6cr,,0.7981,embedding
ic3t-wcy2,,j4y5-w7iq,,0.7601,embedding
ic3t-wcy2,,mhyv-6iza,,0.8024,embedding
ic3t-wcy2,,k3sr-iysq,,0.8267,embedding
ic3t-wcy2,,xvww-awjk,,0.8387,embedding
ic3t-wcy2,,8xru-fryn,,0.8028,embedding
ic3t-wcy2,,mc7h-evz7,,0.7904,embedding
ic3t-wcy2,,gxfj-gcr2,,0.7855,embedding
ic3t-wcy2,,7wa7-cvt5,,0.7802,embedding
ic3t-wcy2,,aaqu-mkmi,,0.8418,embedding
ic3t-wcy2,,wn4z-dw55,,0.7909,embedding
ic3t-wcy2,,g5fd-8j6i,,0.7659,embedding
ic3t-wcy2,,tm9k-c4na,,0.7727,embedding
ic3t-wcy2,,9cgq-8a58,,0.7679,embedding
dpec-ucu7,,p32s-yqxq,,1.0,embedding
xjfq-wh2d,,jb3k-j3gp,,0.9701,embedding
xjfq-wh2d,,5tub-eh45,,0.8889,embedding
xjfq-wh2d,,rhe8-mgbb,,0.7945,embedding
xjfq-wh2d,,yhuu-4pt3,,0.8017,embedding
xjfq-wh2d,,jgtb-hmpg,,0.8629,embedding
xjfq-wh2d,,td5q-ry6d,,0.9591,embedding
